ðŸ”’ Row ID,Name,quantity taga,Quantity mtr-jod,outward qty mtr,outward qty taga,FInal taga stock,FInal stock mtr-jod
GRM57O8zRx6Vds1rOyo6.g,"4.10*42, 64*52, 40*40, c*c",46,794,204.5,11,35,589.5
zHfGMC.tTRSG20DN7ihAKA,"8.50*49, 72*68, 64pc*65*psf",86,914,919.5,86,0,-5.5
pc7-b7A8TiKJUzqmVby1.Q,"6.40*48, 64*52, 60c*60C",434,4655.5,4282,401,33,373.5
q0y9OFAjTgGur7ZW.GojmQ,"7.80*44, 60*52, 64pc*65psf",252,3031,2380,198,54,651
goxJgIDHQh-rgQxdv4SiUQ,"7m*41, 52*40, pc*d",251,3977,3728,233,18,249
68HGnn3AQ22QTBhHvKax9g,"4.80*45, 72*64, 64c*84c",128,2478,2101,112,16,377
HPGmqx40QsiTpGb0xePUJA,"7.50*46, 52*48, p*d",242,3790.5,1771.5,127,115,2019
doKPltRuSWG9ulDKBk0U8g,"48"", 63*60, 57pc*65psf",159,15211.1,11546.3,165,-6,3664.8
e.NIvZrDQ6Kzni4XPE4XRw,"38"", 82*76, 40pc*40c",40,4037,0,0,40,4037
INcFzBrgQnGJRTfd4G2oKQ,"7.90*41, 52*44, pc*d",212,2540.5,1856.5,155,57,684
UlMBxN3xRvOUMcjMJjP55Q,"47"", 50*52, pc*d",13,1462.9,0,0,13,1462.9
eYX3mnYoT0CdpCq-thCh3Q,"40"", 52*40, pc*d",616,45554.4,42356.9,847,-231,3197.5
j.xmwspbRLW1PoSS840DOQ,"38"", 82*60, 30pc*30pc",0,0,0,0,0,0
5ssgqCx8S5iusDhArxQuuA,"38"", 82*60, 30pv*30pv",58,5967,0,0,58,5967
dJQcga7CQVS6OBBX6iIrSg,"47"", 74*64, 45pc*45pc",307.75,22928.1,11199.58,202.25,105.5,11728.52
RVBNDLlURnecSpRfPoRHWA,"7.70*52, 72*68",104,1106.5,1305,123,-19,-198.5
kQ3T6FPpQvSPdwmQSxxyHQ,"7.70*50, 68*60, pc*psf",236,2754.5,2399.5,206,30,355
4rK0PTOJS4uLvK8fEGa8zw,"4m*42, 60*48, 60*60, patti ",4,71,815.5,36,-32,-744.5
2fEE1pSsReum9TwBini2fQ,"63"", 3/84*58, 30pv*15pv Twill (shirting)",153,29095,23354,122,31,5741
klbBaT1XRlWWslJumkPxsQ,"62"" 126*58, 30pv*15pv(2/1 Twill) ",0,0,0,0,0,0
cOX622dCTjWSl6QAN7EM7Q,"7.30*43"" 52*52, pc*psf century",0,0,0,0,0,0
2bKGk-CARCiJq7bhLpN7-w,"8.50*50"" 72*72 c*c",162,1566.5,1381,143,19,185.5
c6Xfn1ldRXm-pTkcLldcCQ,"39"" 112*108 50*50 plain dobby ",0,0,0,0,0,0
R88gHD-HQLu9fQYKYEw7dg,"39"" 112*100 dobby plain ",0,0,0,0,0,0
wMcnDpWuQ16rY2ihPDmenQ,"47"" 61*60 pc*psf ",44,44,0,0,44,44
ffhsV77pSfWIcAALtlAycw,"43"" 52*44 pc*80d",0,0,0,0,0,0
J21PkvBcSzmm..Bm9C7-IA,"47"" 82*64 pc*psf",0,0,19,19,-19,-19
QiQFWNStSICX2yhdfozwdA,"4.30*44"" 64*68 cotton patti",0,0,0,0,0,0