ðŸ”’ Row ID,Quality,date,length,length war,Reed,Pick,Reed space(warp),Reed space (weft),warp count,weft count,Job rate,Warp rate,Weft rate,Sizing rate,Mercerise rate,Other charges ,weft gram,weft cost ,Job cost,Mercerize cost,other costs ,Total cost ,Lasa,warp gram,warp cost ,Sizing cost
5lBAR2ODQpCNkazGf-JRNQ,Ct,"16/06/2025, 11:01:00",8.5,9.295685,65,68,50.5,51,66,65,0.08,245.25,202.25,43.05,8,3,0.2705509564,54.7189309373,46.24,8,3.2687679281,112.2276988655,,,,
MsQBCTF2Sr2iNmp3m8rk7Q,Arihant kesari ,"16/06/2025, 11:14:00",8.5,9.295685,65,68,50.5,51,66,65,0.08,245.25,202.25,43.05,8,3,0.2705509564,54.7189309373,46.24,8,5.5148834773,189.3443327193,9.66,0.2596965602,63.6905813882,11.1799369165
rqwHGJn8SE-gK2AwR5hy2Q,"7.30*43"" 52*52, pc*psf century","16/07/2025, 11:03:00",7.4,8.092714,45,52,44.5,45,66,65,0.07,238.56,202.33,43,7,3,0.1589273479,32.1557703012,26.936,7,3.1214834427,107.1709315326,8.22,0.1348120393,32.1607600983,5.7969176904
jhG-MAiXTz-vw.-OtlrpBg,"7.50*46, 52*48, p*d",,,,,,,,,,,,,,,,,,,,,,,,,
sJVw5CwERI2BYkZRwc0yAA,"7m*41, 52*40, pc*d","14/07/2025, 11:42:00",7,7.65527,45,40,42.5,43.5,66,70.86,0.07,243.25,124.32,41,6,3,0.1025440712,12.7482789371,19.6,6,2.1735912274,74.6266321424,7.66,0.1199815725,29.1855175061,4.9192444717
KAhPYt-YQzyWmA5KI9y0jw,"7.30*43"" 52*52, pc*psf century","14/07/2025, 12:12:00",7.3,7.983353,44,50,44.5,45,66,70.86,0.07,234.25,124.24,41,6,3,0.1382829532,17.1802741077,25.55,6,2.5278696422,86.7901910472,8.05,0.1290900901,30.2393536036,5.2926936937
1FFUmdPFTQCRc.E2f0oEJw,"47"", 74*64, 45pc*45pc","28/06/2025, 12:23:00",1,1.09361,73,62,51,49,49,50,0.065,227.25,200,28.5,0,3,0.0362478441,7.2495688128,4.03,0,0.7039146132,24.1677350531,1.16,0.0476412576,10.826475786,1.3577758411
t9Pc5p8hTqm5ld5Ty0PwMg,"47"" 61*60 pc*psf ","25/07/2025, 18:07:00",1,1.09361,60,58,51,49,66,65,0.065,231.66,191.66,37.5,0,3,0.0260840565,4.9992702731,3.77,0,0.5382958615,18.4814912451,1.36,0.0340835381,7.8957924324,1.2781326781
Z2-Rnn52Qz-suEEjj1cy4g,"7.70*50, 68*60, pc*psf","29/07/2025, 11:21:00",7.8,8.530158,61,60,51.5,52,66,65,0.08,242.5,201.25,34.5,7.8,3,0.2233573538,44.9506674542,37.44,7.8,4.5572907927,156.4669838816,8.66,0.2228123669,54.0319989762,7.6870266585
VTDP8Aa5S1OsVAd1BvC6gg,"43"" 52*44 pc*80d","30/07/2025, 12:17:00",1,1.09361,43,52,45,43.5,66,70.866,0.06,238.56,124.32,34.5,0,3,0.0190422866,2.367337065,3.12,0,0.308864124,10.6043349254,1.1111,0.0176083415,4.2006459538,0.6074877826
ztZKw10vSaONvG8.WCmvjA,"47"", 50*52, pc*d","01/08/2025, 14:00:00",162,177.16482,49,48,52,49,58,70.86,0.065,206,111,34.5,0,3,3.2078614287,356.0726185874,505.44,0,56.6849647645,1946.1837902484,180,4.2743709226,880.5204100652,147.4657968313
OdSB5frvREyoQzqBBkdbOg,"40"", 52*40, pc*d","01/08/2025, 18:23:00",1,1.09361,43,38,44.5,42,66,70.86,,,,,,,0.0134368093,,,,,,1.1111111,0.0174128672,,
3tCTbVS5QD-VTJ7sWRSqpw,"6.40*48, 64*52, 60c*60C","02/08/2025, 12:32:00",6.4,6.999104,56,50,49.5,50,64,60,0.11,401.1,290.2,34,6,3,0.1590864343,46.1668832447,35.2,6,4.7941542659,164.5992964624,7.11111,0.1664864605,66.7777192957,5.6605396561
O8YQ2vzdSiK3swSJD7Lvmg,"8.50*50"" 72*72 c*c","04/08/2025, 17:03:00",8.8,9.623768,73,72,51.5,52,68,60,0.0775,,,,,,0.3275907856,,49.104,,1.47312,50.57712,9.7777777,0.2922063216,,