ðŸ”’ Row ID,Name,date,Type,bags-boxes,weight net,inward from 
yjshDt1ETSSEk2D7eiRmuw,sintex,"11/08/2025, 12:06:32",51 c,3,180,
89MSikveRlm1Be0FU6pkHQ,,"11/08/2025, 13:05:00",,,,
5Vw9qdQeQBeSmt4YkTHOKA,S.V.T,"06/08/2025, 13:05:00",65 psf,3,180,
c7S3lNKPRtaPrD2Lb8.X1g,S.V.T,"11/08/2025, 13:06:03",65 psf,2,120,
T46Mn95FR-uKab23VKc3rA,sintex,"11/08/2025, 13:06:59",51 c,3,136.08,
L9-znR7oRSaWo957Xakwog,sintex,"11/08/2025, 13:07:26",51 c,8,362.88,
wRycsDlITO2bDU4f.iklzQ,reliance,"11/08/2025, 13:24:08",75 D,8,250.068,
3gNVtm7UReCQm51Og6dNTg,reliance,"11/08/2025, 13:24:41",75 D,8,248.388,
a.CKG38NTRhyRzd83ZiTsFQ,Baba,"12/08/2025, 16:45:24",15 pv,5,300,46/1
DNnMmz2bRuGsPXIaJLCcPg,Michi Gold ,"12/08/2025, 19:56:37",92 C,2,100,416
v2HBLwdVRoCz4S2ZLeiF0g,reliance,"15/08/2025, 12:51:33",75 D,16,498.596,1622
UjIy-gsZQdexe-837a76xQ,Priyalaxmi,"15/08/2025, 12:54:50",64 c,8,440,103311
VFTz.99cRy2OpP9d4veHbQ,S.V.T,"15/08/2025, 12:55:17",65 psf,7,420,325/326
XGPTvvQPSHWQBvJhzKnE3w,Baba,"15/08/2025, 12:56:39",15 pv,10,600,47/1
H1gfYNSqQ5ejkHoobFrpZw,Alok,"15/08/2025, 12:57:37",2/32 cp ,25,1200,3043/3042
ZlNMMrHKT6eEx7Pq49R0fQ,Reliance (nepal),"15/08/2025, 12:59:26",30 pv,37,1850,S/2406